station_id,urbanization_bin
USC00391392,2
USC00391579,0
USC00391972,0
USC00392797,1
USC00392927,1
USC00392984,2
USC00393029,0
USC00393832,1
USC00394007,2
USC00394516,0
USC00394834,2
USC00394864,1
USC00395456,0
USC00395481,1
USC00395561,2
USC00395891,0
USC00396212,0
USC00396712,0
USC00396947,6
USC00398472,1
USC00398622,3
USC00399442,0
USC00400876,3
USC00401145,4
USC00401790,8
USC00402108,3
USC00402202,2
USC00402489,5
USC00402589,2
USC00403280,8
USC00404561,7
USC00405187,4
USC00405882,5
USC00406012,4
USC00406371,6
USC00406534,5
USC00407884,4
USC00408108,0
USC00409155,6
USC00409219,4
USC00409502,2
USC00410120,2
USC00410493,3
USC00410639,2
USC00410832,2
USC00410902,5
USC00410923,3
USC00411048,6
USC00411800,5
USC00411875,3
USC00412011,6
USC00412019,6
USC00412121,1
USC00412266,0
USC00412404,8
USC00413183,1
USC00413420,3
USC00413873,3
USC00413992,2
USC00414182,4
USC00414382,6
USC00415272,3
USC00415429,3
USC00415618,6
USC00415821,2
USC00416794,6
USC00417079,6
USC00417983,6
USC00418274,5
USC00418433,5
USC00419532,7
USC00420086,0
USC00420738,2
USC00422101,1
USC00422253,1
USC00422592,1
USC00422828,2
USC00424856,0
USC00425065,1
USC00425186,7
USC00425402,3
USC00425733,4
USC00426357,0
USC00427260,4
USC00427516,8
USC00427714,0
USC00428119,6
USC00428771,6
USC00429111,6
USC00429595,0
USC00429717,0
USC00431072,7
USC00431580,1
USC00436995,6
USC00437054,2
USC00440766,6
USC00441209,0
USC00441593,7
USC00442208,6
USC00444128,1
USC00444876,4
USC00444909,3
USC00445050,2
USC00446712,3
USC00448062,6
USC00449151,6
USC00449186,7
USC00449263,3
USC00450008,6
USC00450587,6
USC00450729,5
USC00451233,0
USC00451276,6
USC00451484,4
USC00451504,3
USC00452007,1
USC00452030,2
USC00452505,5
USC00452914,2
USC00453546,0
USC00454154,8
USC00454338,0
USC00454486,4
USC00454748,3
USC00454764,0
USC00455946,0
USC00456039,1
USC00456096,0
USC00456789,5
USC00456914,3
USC00457059,1
USC00457180,1
USC00457507,5
USC00458059,0
USC00458773,9
USC00459074,8
USC00459238,1
USC00459376,1
USC00460527,0
USC00461220,5
USC00462920,6
USC00463544,1
USC00465626,0
USC00468384,2
USC00469522,2
USC00469683,3
USC00470265,9
USC00470696,8
USC00471078,3
USC00472839,7
USC00473405,1
USC00474482,4
USC00474546,1
USC00475017,7
USC00475091,6
USC00475120,6
USC00475164,0
USC00475255,4
USC00475364,4
USC00475474,9
USC00475516,4
USC00475808,2
USC00475932,4
USC00476208,2
USC00476330,8
USC00476678,4
USC00476718,4
USC00476827,5
USC00476922,7
USC00477113,3
USC00477226,4
USC00478027,2
USC00478171,6
USC00478267,4
USC00478349,4
USC00478827,3
USC00478919,6
USC00478951,4
USC00480140,1
USC00480540,1
USC00481676,8
USC00481730,0
USC00481840,5
USC00483100,4
USC00483855,7
USC00485770,2
USC00486440,0
USC00486660,3
USC00487388,4
USC00488160,0
USC00489615,1
USC00489770,3
USC00489905,0
USR0000MHEL,3
USW00003103,5
USW00003804,4
USW00003812,6
USW00003813,5
USW00003822,7
USW00003945,2
USW00003952,7
USW00004725,2
USW00012835,9
USW00012836,5
USW00012839,9
USW00012841,9
USW00012916,9
USW00012921,9
USW00012923,6
USW00012924,6
USW00012930,9
USW00013722,7
USW00013724,6
USW00013733,6
USW00013734,5
USW00013737,8
USW00013740,7
USW00013744,6
USW00013758,7
USW00013782,7
USW00013865,6
USW00013867,7
USW00013872,8
USW00013880,8
USW00013882,8
USW00013883,7
USW00013889,5
USW00013891,7
USW00013893,8
USW00013894,7
USW00013897,8
USW00013899,8
USW00013957,7
USW00013962,6
USW00013967,8
USW00013970,8
USW00013976,8
USW00013977,7
USW00013980,2
USW00013981,5
USW00013984,3
USW00013985,5
USW00013988,9
USW00013995,5
USW00013996,7
USW00014733,9
USW00014735,8
USW00014742,7
USW00014743,2
USW00014751,8
USW00014765,8
USW00014768,8
USW00014771,8
USW00014778,5
USW00014804,7
USW00014805,7
USW00014809,7
USW00014814,6
USW00014819,9
USW00014822,9
USW00014836,7
USW00014837,7
USW00014838,5
USW00014840,8
USW00014842,6
USW00014845,3
USW00014846,7
USW00014848,7
USW00014850,7
USW00014860,7
USW00014897,7
USW00014898,8
USW00014913,5
USW00014914,7
USW00014920,7
USW00014922,9
USW00014924,1
USW00014925,3
USW00014929,5
USW00014931,6
USW00014933,7
USW00014936,4
USW00014939,7
USW00014942,7
USW00014946,6
USW00014992,3
USW00022521,7
USW00023009,3
USW00023034,5
USW00023047,4
USW00023051,2
USW00023062,9
USW00023065,3
USW00023066,6
USW00023080,9
USW00023129,9
USW00023170,0
USW00023179,0
USW00023185,9
USW00023188,9
USW00023194,3
USW00023234,8
USW00023271,9
USW00023272,9
USW00024011,7
USW00024018,8
USW00024020,0
USW00024021,4
USW00024022,2
USW00024023,0
USW00024025,4
USW00024027,0
USW00024028,3
USW00024029,6
USW00024036,4
USW00024037,4
USW00024090,1
USW00024119,2
USW00024121,5
USW00024127,8
USW00024128,2
USW00024131,8
USW00024135,6
USW00024137,2
USW00024138,0
USW00024143,5
USW00024144,7
USW00024153,6
USW00024155,4
USW00024157,6
USW00024160,6
USW00024175,9
USW00024213,6
USW00024216,6
USW00024227,7
USW00024229,9
USW00024232,8
USW00024257,6
USW00024284,6
USW00025309,4
USW00025325,0
USW00025501,0
USW00025713,0
USW00054742,2
USW00093009,2
USW00093134,9
USW00093193,9
USW00093725,9
USW00093729,2
USW00093784,9
USW00093808,8
USW00093814,8
USW00093817,7
USW00093819,8
USW00093820,6
USW00093822,6
USW00093834,9
USW00093852,9
USW00093906,8
USW00093986,2
USW00093987,3
USW00093992,0
USW00094008,2
USW00094012,2
USW00094014,6
USW00094224,5
USW00094701,9
USW00094728,9
USW00094823,7
USW00094847,8
USW00094849,1
USW00094860,8
USW00094908,2
USW00094911,5
USW00094957,3
USW00094967,3
UZM00038457,9
UZM00038618,8
UZM00038696,7
UZM00038927,8
